site,name,price,url,sizes,availability,description
organicbasics,Virtual Gift Card,Destination Shipping method Delivery time Price Free above,https://www.organicbasics.com/products/virtual-gift-card,Find my size,in_stock,"Strictly necessary cookies help make a website navigable by activating basic functions such as page navigation and access to secure website areas. Without these cookies, the website would not be able to work properly."
organicbasics,Easy Briefs 9-Pack,Destination Shipping method Delivery time Price Free above,https://www.organicbasics.com/products/mens-easy-briefs-9-pack-soft-lilac-himalayan-salt-sandstone?_pos=1&_sid=8131e8f46&_ss=r,Find my size,,"Strictly necessary cookies help make a website navigable by activating basic functions such as page navigation and access to secure website areas. Without these cookies, the website would not be able to work properly."
organicbasics,Core Color Striped Socks 3-Pack,Destination Shipping method Delivery time Price Free above,https://www.organicbasics.com/products/core-color-striped-socks-3-pack-white-azure-blue?_pos=2&_sid=8131e8f46&_ss=r,Find my size,,"Strictly necessary cookies help make a website navigable by activating basic functions such as page navigation and access to secure website areas. Without these cookies, the website would not be able to work properly."
organicbasics,Core Color Striped Socks 3-Pack,Destination Shipping method Delivery time Price Free above,https://www.organicbasics.com/products/core-color-striped-socks-3-pack-midnight-blue-pink?_pos=3&_sid=8131e8f46&_ss=r,Find my size,,"Strictly necessary cookies help make a website navigable by activating basic functions such as page navigation and access to secure website areas. Without these cookies, the website would not be able to work properly."
organicbasics,Core No Show Socks 3-pack,Destination Shipping method Delivery time Price Free above,https://www.organicbasics.com/products/core-no-show-socks-3-pack-hazelnut?_pos=4&_sid=8131e8f46&_ss=r,Find my size,,"Strictly necessary cookies help make a website navigable by activating basic functions such as page navigation and access to secure website areas. Without these cookies, the website would not be able to work properly."
boody,Men's Everyday Boxer Briefs,$25.95 USD,https://www.boody.com/products/mens-everyday-boxer-briefs-ash,,,Comfortable elastic waistband that won't dig or slip. Double-layered pouch for gentle yet secure support. Lightweight design that won't ride up. Form fitting with plenty of room to stretch. Minimal silhouette for unrestricted comfort. Please note that this product has recently undergone a name change and was formerly known as the Men's Everyday Boxers.
boody,Sport Ankle Socks,$12.95 USD,https://www.boody.com/products/sport-ankle-socks-black,,,Introducing Boody's Sport Ankle Bamboo Socks in Black for Men & Women. Made comfy with Viscose fibre made from organically grown Bamboo. Arch compression for added support. No irritating toe seam for ultimate comfort. Breathable mesh panel wicks away moisture. Ankle tab keeps the sock up and creates a barrier against rubbing shoes. Comfortable yet tighter fit to reduce friction at your pressure points. Reinforced toe and heel for durability and longevity. Please note that our socks have recently undergone a name change. This is to better reflect their fit. These were previously named the Sports Socks.
whitefoxboutique,E-GIFT CARD,,https://www.whitefoxboutique.com/products/gift-card,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Safa Slippers Latte,$49.99 USD,https://www.whitefoxboutique.com/products/safa-slippers-latte,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Gino Mules Chocolate Faux Suede,$69.99 USD,https://www.whitefoxboutique.com/products/gino-mules-chocolate-faux-suede,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Grayson Slippers Chestnut,$69.99 USD,https://www.whitefoxboutique.com/products/grayson-slippers-chestnut,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,In My Moment Knee High Boots Chocolate Faux Suede,$84.99 USD,https://www.whitefoxboutique.com/products/in-my-moment-knee-high-boots-chocolate-faux-suede,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Bubbles & Foxy Friends,$29.99 USD,https://www.whitefoxboutique.com/products/bubbles-foxy-friends,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Sunshine Serenade Mini Dress Red,$74.99 USD,https://www.whitefoxboutique.com/products/sunshine-serenade-mini-dress-red,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Iconic Duo Knit Cami Top Navy/Cream Gingham,$44.99 USD,https://www.whitefoxboutique.com/products/iconic-duo-knit-cami-top-navy-cream-gingham,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Vol. 1 Cropped Zip Front Hoodie Posy,$59.99 USD,https://www.whitefoxboutique.com/products/vol-1-cropped-zip-front-hoodie-posy,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Nobody's Watching Long Sleeve Top Black,$54.99 USD,https://www.whitefoxboutique.com/products/nobodys-watching-long-sleeve-top-black,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Love You Forever Baby Tee Pink,$39.99 USD,https://www.whitefoxboutique.com/products/love-you-forever-baby-tee-pink,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Bueno Beaded Top Chocolate,$59.99 USD,https://www.whitefoxboutique.com/products/bueno-beaded-top-chocolate,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Let It Go Strapless Bustier Midnight Leopard,$59.99 USD,https://www.whitefoxboutique.com/products/let-it-go-strapless-bustier-midnight-leopard,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Brat Girl Summer Tank White,$49.99 USD,https://www.whitefoxboutique.com/products/brat-girl-summer-tank-white,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,With Love Always Oversized Hoodie Baby Pink,$69.99 USD,https://www.whitefoxboutique.com/products/with-love-always-oversized-hoodie-baby-pink,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Bring The Style Low Rise Wide Leg Jeans Dark Indigo,$79.99 USD,https://www.whitefoxboutique.com/products/bring-the-style-low-rise-wide-leg-jeans-dark-indigo,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Disco Ball Embellished Mini Dress Wine,$99.99 USD,https://www.whitefoxboutique.com/products/disco-ball-embellished-mini-dress-wine,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Roll Call Ribbed Long Sleeve Top Grey Marle,$49.99 USD,https://www.whitefoxboutique.com/products/roll-call-ribbed-long-sleeve-top-grey-marle,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Vanilla Sugar Hair & Body Mist,$14.99 USD,https://whitefoxboutique.com/products/hair-body-mist,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Vol 1. Tote Bag Set,$79.99 USD,https://whitefoxboutique.com/products/vol-1-tote-bag,,in_stock,Copy the link below to share your wishlist with friends and family
whitefoxboutique,Scrub + Smooth Set,$29.99 USD,https://whitefoxboutique.com/products/scrub-smooth,,in_stock,Copy the link below to share your wishlist with friends and family
princesspolly,Cleona Plunge Neck Bodysuit Black Polka,GBP £42.00 Plus Vat at Checkout QUALIFIES FOR FREE SHIPPING,https://us.princesspolly.com/products/cleona-plunge-neck-bodysuit-black-polka,"UK 4 / US 0, UK 6 / US 2, UK 8 / US 4, UK 10 / US 6, UK 12 / US 8, UK 14 / US 10, UK 16 / US 12, US 0, US 2, US 4, US 6, US 8, US 10, US 12",,"Bodysuit in polka-dot print with plunge neckline Mesh fabric, cowl, press button at base, cheeky bottoms, tie halter straps, low back Good stretch, fully lined Princess Polly Lower Impact Main: 95% reclaimed polyester 5% elastane, Lining: 95% polyester 5% elastane Cold gentle machine wash"
